sample_id,date,month,season,temp_max,temp_min,humidity,rainfall,disease_probability,health_status,disease_type,severity,NDVI,EVI,SAVI,REP,blue_band,green_band,red_band,nir_band,lat,lon
AGR_0000,2024-04-12,4,Summer,32.7990620433442,23.546299217351223,72.10791250617234,0.0,0.1368450123265755,healthy,none,0.0,0.3897,0.2417,0.2006,715.56,0.07034762407103991,0.12492494459522208,0.15932380956238976,0.3627925580023808,12.200389382920507,76.9961057796456
AGR_0001,2024-06-09,6,Monsoon,28.3539838370305,20.48392454313207,69.69375804273761,0.0,0.08164450809513274,healthy,none,0.0,0.5154,0.3916,0.3243,714.1,0.03720758687847521,0.10111575117227248,0.17390881867650432,0.5438329009954078,12.457117219206806,76.79620728443102
AGR_0002,2024-05-10,5,Summer,36.6680444386527,24.49738557136347,60.599012804620074,0.0,0.0,healthy,none,0.0,0.2931,0.3032,0.2672,712.11,0.10260456387794074,0.13119356744188254,0.13454108197741776,0.24610987849059118,12.29111804389403,76.87768070515882
AGR_0003,2024-02-23,2,Winter,21.52368927422475,11.015441853304708,67.95291853803685,0.0,0.02186383160538625,healthy,none,0.0,0.4878,0.273,0.2022,721.48,0.06923716676674081,0.07959965707915961,0.11477634935811573,0.3333936988969242,12.471348041579123,76.57046211248738
AGR_0004,2024-01-15,1,Winter,19.372969683380447,10.899653583341106,74.54457662517756,0.0,0.0,healthy,none,0.0,0.4786,0.3085,0.292,718.82,0.0766358982380183,0.1549430593651357,0.1401700925029184,0.3974980797368914,12.534420626331803,76.83296117830875
AGR_0005,2024-06-20,6,Monsoon,25.690996679001675,21.669590838460856,87.37249107463177,0.0,0.7361636025047633,diseased,fungal_infection,0.9043140194467589,0.3915,0.3171,0.2807,704.47,0.06159218389865248,0.10804084829954395,0.14756543650101014,0.3374483235680454,12.253945713496652,76.51571459284337
AGR_0006,2024-08-18,8,Monsoon,35.90058466183637,17.94981822237827,78.74361738960128,0.0,0.44239430697909343,stressed,environmental_stress,0.46195232739050196,0.5583,0.3742,0.3301,711.07,0.06779355965305331,0.11051502309570682,0.09070303012564346,0.31999667612585514,12.408254973935183,76.94164012945943
AGR_0007,2024-05-07,5,Summer,34.084609935043936,19.893840718367944,60.085067801033475,0.0,0.1273733620139556,healthy,none,0.0,0.3798,0.1899,0.2498,715.64,0.07421726287060117,0.13358808979600528,0.14335756366595737,0.3189370627963366,12.361601466010377,76.75939531087168
AGR_0008,2024-08-20,8,Monsoon,26.01178505986536,19.707054386516766,78.23186386835435,0.0,0.31775106312199375,healthy,none,0.0,0.5537,0.4181,0.3514,719.34,0.07839825329295022,0.11275859605067362,0.20734061949159682,0.7218129520593636,12.465467291658568,76.72389158228654
AGR_0009,2024-07-16,7,Monsoon,31.19738112564791,21.534593677412808,75.80165938004514,0.0,0.47910319470430474,stressed,environmental_stress,0.41033493981577596,0.4915,0.391,0.3667,706.77,0.08153789897169143,0.1051970255339002,0.1869265043336781,0.5482809856709556,12.293259255199926,76.52038757077739
AGR_0010,2024-05-27,5,Summer,30.61299080569124,19.953095308239185,78.31267421624403,0.0,0.2605483130847675,healthy,none,0.0,0.4158,0.1955,0.2553,722.25,0.06324837216473772,0.14031558196746297,0.22489276469282882,0.5450242660939866,12.31427501089865,76.58747746354797
AGR_0011,2024-04-21,4,Summer,36.585495760257764,26.091659573251317,95.0,0.0,0.42598827942484235,stressed,environmental_stress,0.4017089373146102,0.3703,0.2685,0.191,711.43,0.10434141593960221,0.12678864808496623,0.18389605730306555,0.4001790810265059,12.204598525808315,76.55073577143301
AGR_0012,2024-04-08,4,Summer,34.42803626116989,16.19628941349685,67.25988565224921,0.0,0.0,healthy,none,0.0,0.3942,0.2581,0.2175,712.05,0.09734458997952888,0.14875241508639894,0.16672474087822345,0.3837035882014182,12.45440703841938,76.81816630909294
