date,temp_max,temp_min,humidity,rainfall,wind_speed,temp_stress,humidity_risk,disease_risk
2024-06-01,35.3,24.6,86.5,0.51,16.6,1,0.549,0.535
2024-06-02,34.9,22.3,74.2,0.61,10.4,0,0.14,0.074
2024-06-03,34.8,28.2,62.8,2.84,10.3,0,0.0,0.085
2024-06-04,33.5,25.8,73.0,4.61,5.6,0,0.099,0.178
2024-06-05,34.5,27.2,74.6,2.81,12.3,0,0.152,0.145
2024-06-06,33.1,22.4,82.9,1.74,10.1,0,0.43,0.224
2024-06-07,34.3,26.4,88.2,1.12,8.3,0,0.608,0.277
2024-06-08,39.9,21.9,82.2,7.65,14.6,1,0.406,0.692
2024-06-09,34.1,24.9,65.2,5.29,9.8,0,0.0,0.159
2024-06-10,31.6,26.1,68.7,4.86,12.4,0,0.0,0.146
2024-06-11,33.0,23.1,90.3,4.43,14.8,0,0.677,0.404
2024-06-12,33.9,25.6,64.9,0.2,15.3,0,0.0,0.006
2024-06-13,32.1,26.7,88.1,6.55,16.1,0,0.604,0.438
2024-06-14,32.3,24.5,89.7,2.47,14.4,0,0.658,0.337
2024-06-15,34.3,21.2,53.8,0.08,14.5,0,0.0,0.002
2024-06-16,31.5,22.2,89.0,0.86,12.1,0,0.635,0.28
2024-06-17,37.3,25.4,71.9,7.96,10.5,1,0.064,0.564
2024-06-18,35.3,22.0,82.6,0.62,12.9,1,0.419,0.486
2024-06-19,34.5,22.4,73.0,0.78,11.0,0,0.099,0.063
2024-06-20,36.9,24.9,53.4,0.75,13.0,1,0.0,0.323
2024-06-21,33.6,25.9,78.4,2.19,13.2,0,0.28,0.178
2024-06-22,32.4,21.5,79.8,1.07,7.0,0,0.327,0.163
2024-06-23,34.5,19.4,78.1,0.47,12.9,0,0.269,0.122
2024-06-24,35.0,24.3,87.7,4.3,8.6,1,0.589,0.665
2024-06-25,35.9,26.1,94.0,3.01,7.8,1,0.801,0.711
2024-06-26,32.6,24.2,75.1,0.62,14.8,0,0.169,0.086
2024-06-27,34.5,25.3,64.5,3.11,12.2,0,0.0,0.093
2024-06-28,35.4,26.2,86.2,0.44,11.5,1,0.54,0.529
2024-06-29,32.8,25.0,88.1,5.1,8.3,0,0.605,0.395
2024-06-30,37.1,19.3,76.8,6.83,11.4,1,0.225,0.595
2024-07-01,35.5,23.4,67.6,3.88,8.0,1,0.0,0.417
2024-07-02,36.2,22.6,82.3,0.03,14.5,1,0.409,0.464
2024-07-03,35.6,26.4,98.7,3.17,13.4,1,0.955,0.777
2024-07-04,36.5,26.9,72.5,4.12,8.6,1,0.083,0.457
2024-07-05,36.9,24.2,88.2,0.3,17.7,1,0.607,0.552
2024-07-06,32.3,26.5,88.8,2.99,11.3,0,0.626,0.34
2024-07-07,35.0,22.1,77.4,0.65,20.2,1,0.245,0.418
2024-07-08,33.1,23.0,80.4,0.58,11.6,0,0.347,0.156
2024-07-09,34.6,23.6,84.7,9.94,11.8,0,0.491,0.495
2024-07-10,34.1,23.4,90.5,1.14,11.0,0,0.682,0.307
2024-07-11,35.4,27.5,81.7,2.53,13.2,1,0.391,0.532
2024-07-12,35.5,26.6,90.6,4.05,12.2,1,0.686,0.696
2024-07-13,37.2,22.9,66.2,4.97,9.2,1,0.0,0.449
2024-07-14,35.6,24.5,80.2,2.09,14.6,1,0.341,0.499
2024-07-15,36.1,22.7,89.5,6.62,14.0,1,0.651,0.759
2024-07-16,32.7,28.0,81.7,0.11,9.4,0,0.388,0.159
2024-07-17,39.6,28.7,86.9,0.09,7.2,1,0.562,0.528
2024-07-18,33.2,25.7,95.6,0.73,12.4,0,0.853,0.363
2024-07-19,33.5,24.6,80.5,2.33,10.0,0,0.349,0.209
2024-07-20,37.7,23.3,80.2,1.17,13.3,1,0.338,0.47
2024-07-21,33.7,23.3,72.1,0.08,11.7,0,0.069,0.03
2024-07-22,33.5,21.7,76.7,0.86,11.0,0,0.222,0.115
2024-07-23,38.5,24.2,67.4,9.29,14.8,1,0.0,0.579
2024-07-24,35.8,21.7,66.7,0.85,17.5,1,0.0,0.326
2024-07-25,37.5,26.4,84.4,1.93,14.3,1,0.481,0.55
2024-07-26,35.0,26.9,67.1,1.71,11.7,0,0.0,0.051
2024-07-27,38.3,27.9,75.6,1.41,12.4,1,0.187,0.417
2024-07-28,35.1,20.3,84.0,0.53,14.7,1,0.468,0.503
2024-07-29,35.4,26.2,80.7,8.45,10.8,1,0.357,0.696
2024-07-30,31.2,22.4,73.8,2.37,18.3,0,0.128,0.122
2024-07-31,34.7,23.8,82.8,0.22,10.1,0,0.427,0.177
2024-08-01,36.1,25.3,73.8,3.58,10.9,1,0.126,0.458
2024-08-02,36.1,23.7,88.1,0.99,13.9,1,0.604,0.572
2024-08-03,35.4,25.8,62.1,4.49,8.3,1,0.0,0.435
2024-08-04,35.4,24.7,77.8,4.17,15.3,1,0.261,0.529
2024-08-05,33.5,23.8,80.1,5.25,14.8,0,0.337,0.293
2024-08-06,35.7,25.0,83.2,9.02,11.6,1,0.441,0.747
2024-08-07,38.2,22.2,62.1,1.2,10.7,1,0.0,0.336
2024-08-08,36.6,22.7,86.2,0.29,13.9,1,0.541,0.525
2024-08-09,32.9,24.3,59.1,6.56,17.3,0,0.0,0.197
2024-08-10,32.7,25.0,84.1,2.89,10.3,0,0.471,0.275
2024-08-11,33.5,23.9,85.6,0.25,14.6,0,0.52,0.216
2024-08-12,31.4,27.1,72.8,4.5,11.4,0,0.094,0.173
2024-08-13,30.3,21.2,77.0,1.9,12.0,0,0.233,0.15
2024-08-14,35.0,26.0,85.2,9.82,16.6,0,0.506,0.497
2024-08-15,31.4,26.0,76.6,9.91,13.4,0,0.219,0.385
2024-08-16,34.8,24.3,81.0,10.45,9.7,0,0.366,0.446
2024-08-17,38.9,23.5,75.7,2.96,17.6,1,0.189,0.465
2024-08-18,36.1,24.0,100.0,0.97,9.6,1,1.0,0.729
2024-08-19,34.0,27.0,90.3,0.24,6.6,0,0.678,0.278
2024-08-20,35.0,20.6,89.5,3.46,10.3,1,0.65,0.664
2024-08-21,35.8,21.4,87.0,6.03,11.6,1,0.567,0.708
2024-08-22,36.7,25.3,62.9,10.51,16.1,1,0.0,0.6
2024-08-23,34.9,23.8,55.5,0.96,9.3,0,0.0,0.029
2024-08-24,34.3,24.2,75.5,1.8,13.9,0,0.183,0.127
2024-08-25,31.6,23.3,90.6,1.33,16.6,0,0.687,0.315
2024-08-26,35.0,25.8,95.5,2.2,12.3,0,0.85,0.406
2024-08-27,34.7,22.0,90.3,1.55,12.5,0,0.676,0.317
2024-08-28,35.6,21.6,70.4,0.44,14.1,1,0.012,0.318
2024-08-29,30.9,21.4,88.9,1.28,11.6,0,0.629,0.29
2024-08-30,37.3,24.2,96.3,5.95,7.9,1,0.876,0.829
2024-08-31,34.3,22.7,77.2,11.74,7.0,0,0.24,0.396
2024-09-01,28.4,22.7,67.0,0.24,14.0,0,0.0,0.007
2024-09-02,30.3,21.5,87.5,1.93,11.1,0,0.582,0.291
2024-09-03,30.5,21.5,74.7,0.58,9.6,0,0.157,0.08
2024-09-04,29.6,22.9,80.6,3.52,5.2,0,0.352,0.247
2024-09-05,31.1,22.1,78.9,4.92,11.3,0,0.296,0.266
2024-09-06,31.0,21.3,74.5,1.99,8.3,0,0.151,0.12
2024-09-07,29.5,19.8,96.4,0.11,11.3,0,0.882,0.356
2024-09-08,34.2,24.5,80.3,2.28,14.9,0,0.343,0.206
2024-09-09,32.2,24.4,63.9,0.94,12.6,0,0.0,0.028
2024-09-10,32.1,22.6,69.4,1.19,10.0,0,0.0,0.036
2024-09-11,35.9,20.7,79.9,0.27,16.4,1,0.331,0.44
2024-09-12,37.2,20.5,75.6,0.41,16.7,1,0.186,0.387
2024-09-13,30.7,25.3,89.3,1.32,17.7,0,0.642,0.296
2024-09-14,32.6,22.2,76.4,0.5,11.3,0,0.213,0.1
2024-09-15,31.2,23.5,74.1,0.57,9.4,0,0.136,0.071
2024-09-16,27.5,21.1,83.9,6.02,11.7,0,0.463,0.366
2024-09-17,31.3,21.0,85.0,7.95,9.1,0,0.5,0.439
2024-09-18,36.6,19.3,89.3,0.62,9.7,1,0.644,0.576
2024-09-19,31.0,26.1,63.7,0.37,12.1,0,0.0,0.011
2024-09-20,29.5,20.9,68.6,1.97,12.8,0,0.0,0.059
2024-09-21,31.2,22.4,71.4,0.2,10.8,0,0.047,0.025
2024-09-22,31.3,21.0,91.1,2.72,14.3,0,0.702,0.362
2024-09-23,27.6,24.1,85.8,5.33,11.4,0,0.526,0.37
2024-09-24,32.8,22.3,84.9,5.53,16.7,0,0.496,0.364
2024-09-25,33.2,23.3,75.1,0.54,10.7,0,0.171,0.084
2024-09-26,33.6,20.4,57.9,6.29,13.1,0,0.0,0.189
2024-09-27,34.9,23.3,59.6,1.86,9.0,0,0.0,0.056
2024-09-28,34.6,24.2,64.2,6.9,12.0,0,0.0,0.207
2024-09-29,34.2,26.9,82.4,0.37,14.3,0,0.412,0.176
2024-09-30,32.8,21.4,71.3,4.74,10.8,0,0.042,0.159
2024-10-01,31.3,15.5,67.7,0.05,12.7,0,0.0,0.001
2024-10-02,27.8,21.6,87.6,0.63,13.2,0,0.588,0.254
2024-10-03,32.1,21.0,61.0,0.48,9.1,0,0.0,0.014
2024-10-04,29.1,21.1,79.5,0.31,14.9,0,0.315,0.135
2024-10-05,30.8,16.2,53.4,0.06,8.3,0,0.0,0.002
2024-10-06,30.3,18.3,51.6,0.88,5.0,0,0.0,0.026
2024-10-07,30.6,22.3,100.0,0.01,12.4,0,1.0,0.4
2024-10-08,33.6,18.8,68.3,0.05,13.3,0,0.0,0.001
2024-10-09,33.8,17.3,88.9,0.82,10.5,0,0.63,0.276
2024-10-10,29.8,18.4,100.0,0.15,13.6,0,1.0,0.405
2024-10-11,29.7,20.9,49.8,0.23,7.0,0,0.0,0.007
2024-10-12,29.5,18.7,84.1,0.18,9.5,0,0.468,0.193
2024-10-13,29.5,23.0,61.3,0.21,11.2,0,0.0,0.006
2024-10-14,31.6,20.3,81.2,0.3,6.5,0,0.374,0.158
2024-10-15,29.5,22.2,100.0,0.02,12.2,0,1.0,0.401
2024-10-16,28.4,18.7,63.3,0.06,12.5,0,0.0,0.002
2024-10-17,29.9,21.1,54.3,0.45,12.3,0,0.0,0.013
2024-10-18,32.8,25.3,33.8,0.25,8.3,0,0.0,0.007
2024-10-19,29.3,20.7,43.9,0.31,9.7,0,0.0,0.009
2024-10-20,29.3,20.1,72.3,0.32,9.7,0,0.076,0.04
2024-10-21,31.4,22.3,57.1,0.32,13.5,0,0.0,0.01
2024-10-22,29.3,20.5,77.2,0.58,9.2,0,0.24,0.114
2024-10-23,29.3,17.7,48.8,0.1,13.8,0,0.0,0.003
2024-10-24,26.7,16.5,46.4,0.14,9.6,0,0.0,0.004
2024-10-25,26.9,18.8,45.8,0.24,17.3,0,0.0,0.007
2024-10-26,26.5,21.1,79.6,0.48,11.9,0,0.319,0.142
2024-10-27,29.3,20.1,69.6,0.3,6.9,0,0.0,0.009
2024-10-28,28.8,20.8,45.7,0.1,12.3,0,0.0,0.003
2024-10-29,30.4,22.0,71.1,0.32,6.9,0,0.037,0.024
2024-10-30,29.1,18.9,89.3,0.33,16.7,0,0.644,0.267
2024-10-31,26.3,22.6,55.6,0.05,12.1,0,0.0,0.002
2024-11-01,26.8,17.1,43.5,0.15,13.7,0,0.0,0.004
2024-11-02,25.7,20.2,50.4,0.25,15.2,0,0.0,0.008
2024-11-03,31.7,18.1,66.4,0.07,12.5,0,0.0,0.002
2024-11-04,26.3,17.3,100.0,0.12,11.7,0,1.0,0.404
2024-11-05,26.8,17.0,67.7,0.21,11.0,0,0.0,0.006
2024-11-06,26.2,13.9,75.6,0.48,10.3,0,0.187,0.089
2024-11-07,25.3,15.6,38.6,0.03,15.4,0,0.0,0.001
2024-11-08,27.4,16.3,67.7,0.62,8.0,0,0.0,0.019
2024-11-09,29.1,16.3,84.3,0.57,15.2,0,0.476,0.208
2024-11-10,27.4,20.8,71.4,0.06,12.6,0,0.048,0.021
2024-11-11,29.1,17.2,71.7,1.06,11.4,0,0.057,0.055
2024-11-12,27.4,16.1,65.4,0.12,12.1,0,0.0,0.003
